20 Creating 50 consumers
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-152.359944935 ,Running:141.871550083 
Case:8, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-189.350228271 ,Running:144.593371868 
Case:27, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-131.159963313 ,Running:201.914833069 
Case:28, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-170.713661334 ,Running:202.365095139 
Case:45, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-135.252498439 ,Running:199.907948017 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-185.157389757 ,Running:218.193611145 
Case:0, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-146.604364284 ,Running:218.495075941 
Case:24, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-169.394458177 ,Running:220.30888319 
Case:34, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-122.82731601 ,Running:219.440459013 
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-193.596923122 ,Running:234.513994932 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-143.506370803 ,Running:237.815980911 
Case:17, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-196.885619595 ,Running:237.447515011 
Case:15, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-149.571365363 ,Running:249.35007596 
Case:22, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-125.491444086 ,Running:251.017793179 
Case:10, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-115.253537155 ,Running:259.395004034 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-140.349168212 ,Running:256.929223061 
Case:41, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-161.878814618 ,Running:253.296458006 
Case:32, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-105.886598742 ,Running:257.94264698 
Case:39, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-119.390447395 ,Running:258.396326065 
Case:21, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-203.103153347 ,Running:264.289000034 
Case:12, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-125.930527812 ,Running:284.071455002 
Case:13, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-185.325028983 ,Running:305.8107059 
Case:48, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-157.417812212 ,Running:304.945520878 
Case:46, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-119.47575989 ,Running:330.246792078 
Case:7, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-193.494708061 ,Running:349.366001129 
Case:23, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-170.363261577 ,Running:348.267359018 
Case:18, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-122.703233998 ,Running:365.114494085 
Case:35, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-210.528585629 ,Running:366.52083993 
Case:42, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-113.919221838 ,Running:367.623939991 
Case:5, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-107.497735029 ,Running:390.713461876 
Case:29, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-164.628312875 ,Running:394.417752981 
Case:33, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-136.670787862 ,Running:410.575026035 
Case:3, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-157.165984047 ,Running:428.857811928 
Case:37, Node:[0.0, 0.0, 0.0] ,Feat:[1.0, 0.1, 0.18181818181818182] ,Func_value:-1.06005762728 ,Running:427.215274096 
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-127.829723783 ,Running:462.99818778 
Case:40, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-179.450436202 ,Running:463.178613901 
Case:20, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-126.000651123 ,Running:490.718790054 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-117.62390419 ,Running:549.521169901 
Case:31, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-154.314828788 ,Running:578.822957993 
Case:25, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-137.803068238 ,Running:587.54062891 
