(30, 100) Creating 50 consumers
File not exist..
Case:14, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-369.984455149 ,Running:921.8399508 
Case:19, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-473.643697093 ,Running:906.621389866 
Case:47, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-185.086290202 ,Running:736.55956316 
Case:1, Node:[0.0, 0.0, 0.0] ,Feat:[0.0, 0.0, 0.0] ,Func_value:-10.0745169076 ,Running:1057.82371688 
Case:40, Node:[0.0, 0.0, 0.0] ,Feat:[0.1, 0.1, 0.10000000000000002] ,Func_value:-26.3834339342 ,Running:835.529021025 
Case:46, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-184.70421838 ,Running:790.004021883 
Case:33, Node:[1.0, 0.9925925925925926, 0.996282527881041] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-429.851565785 ,Running:985.211310863 
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-202.378885 ,Running:1285.04312396 
Case:49, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-202.429990466 ,Running:984.675457001 
Case:9, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-360.756261874 ,Running:1310.250664 
Case:36, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-283.463181238 ,Running:1258.46855807 
Case:45, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.7, 0.8235294117647058] ,Func_value:-282.532212025 ,Running:1195.54773712 
Case:34, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-225.451829968 ,Running:1298.70564604 
Case:4, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-146.961588025 ,Running:1891.91289783 
Case:38, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-147.335210501 ,Running:1718.90696502 
VaryingClusterSize: cluster size:30 - 150 avg_node_fm:0.96   avg_feat_fm0.91 avg_runtime:688.27
(30, 200) Creating 50 consumers
Case:6, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-697.22214996 ,Running:276.898231983 
Case:11, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.9, 0.9473684210526316] ,Func_value:-624.02633792 ,Running:282.492270947 
Case:16, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 1.0, 1.0] ,Func_value:-1286.87443099 ,Running:301.875241995 
Case:2, Node:[1.0, 1.0, 1.0] ,Feat:[1.0, 0.8, 0.888888888888889] ,Func_value:-929.029815592 ,Running:380.405045033 
